Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","is_inc_v","accept_d","exp_d","list_d","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","addr_city","addr_state","acc_now_delinq","acc_open_past_24mths","bc_open_to_buy","percent_bc_gt_75","bc_util","dti","delinq_2yrs","delinq_amnt","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","mths_since_recent_inq","mths_since_recent_revol_delinq","mths_since_recent_bc","mort_acc","open_acc","pub_rec","total_bal_ex_mort","revol_bal","revol_util","total_bc_limit","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","total_il_high_credit_limit","num_rev_accts","mths_since_recent_bc_dlq","pub_rec_bankruptcies","num_accts_ever_120_pd","chargeoff_within_12_mths","collections_12_mths_ex_med","tax_liens","mths_since_last_major_derog","num_sats","num_tl_op_past_12m","mo_sin_rcnt_tl","tot_hi_cred_lim","tot_cur_bal","avg_cur_bal","num_bc_tl","num_actv_bc_tl","num_bc_sats","pct_tl_nvr_dlq","num_tl_90g_dpd_24m","num_tl_30dpd","num_tl_120dpd_2m","num_il_tl","mo_sin_old_il_acct","num_actv_rev_tl","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","total_rev_hi_lim","num_rev_tl_bal_gt_0","num_op_rev_tl","tot_coll_amt","policy_code"
"19916851","22139607","18000","18000","18000"," 60 months"," 17.57%","452.89","D","D4","Network Specialist","3 years","MORTGAGE","42000","Source Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-26","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19916851","","major_purchase","Major purchase","SIMPSONVILLE","SC","0","4","574","100","92.9","11.57","1","0","2001-06-17 05:00","660","664","0","17","","21","36","43","1","9","0","9054","8529","48.2%","8100","20","f","17618.55","17618.55","905.78","905.78","381.45","524.33","0.0","0.0","0.0","2014-09-05","452.89","2014-09-30","2014-08-21","704","700","1295","14","37","0","2","0","1","0","17","9","1","10","77908","64194","8024","7","3","3","75","1","0","0","4","131","6","156","19","17700","6","7","0","1"
"19958140","22180747","9000","9000","9000"," 36 months","  8.39%","283.65","A","A5","Deputy","7 years","MORTGAGE","48000","Not Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19958140","","credit_card","Credit card refinancing","McAllen","TX","0","5","3775","33.3","60.7","17.71","0","0","1992-09-19 05:00","710","714","0","38","","7","38","29","4","8","0","40923","8792","38.9%","9600","28","w","8557.01","8557.01","567.3","567.30","442.99","124.31","0.0","0.0","0.0","2014-08-28","283.65","2014-09-25","2014-08-21","769","765","34019","19","","0","0","0","0","0","","8","3","7","115119","87546","10943","8","2","3","96.3","0","0","0","5","190","4","261","7","22600","4","6","0","1"
"19878192","22100829","18900","18900","18900"," 60 months"," 18.24%","482.41","D","D5","Buyer","10+ years","MORTGAGE","77000","Source Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-24","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19878192","","debt_consolidation","Debt consolidation","salt lake city","UT","0","3","566","83.3","96.1","20.67","0","0","1999-06-19 05:00","680","684","0","","","7","","9","7","14","0","53035","29991","75%","14500","25","w","0.00","0.00","19187.28","19187.28","18900.00","287.28","0.0","0.0","0.0","2014-07-29","19187.28","","2014-08-21","684","680","24669","12","","0","0","0","0","0","","14","3","6","211545","180712","12908","7","6","6","100","0","0","0","6","142","10","180","9","40000","10","10","0","1"
"19917800","22140474","6000","6000","6000"," 36 months","  7.69%","187.17","A","A4","Interaction Designer","6 years","MORTGAGE","142000","Not Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19917800","","home_improvement","Home improvement","Canton","GA","0","2","6780","33.3","73.6","22.52","0","0","1996-06-18 05:00","700","704","0","50","","13","","34","4","9","0","201249","20009","72.2%","25700","26","f","5701.61","5701.61","374.34","374.34","298.39","75.95","0.0","0.0","0.0","2014-08-28","187.17","2014-09-24","2014-08-21","704","700","171857","8","","0","0","0","0","0","50","9","2","5","588556","577580","64176","4","3","3","92","0","0","0","13","204","4","216","9","27700","4","4","0","1"
"19716690","21939437","5000","5000","5000"," 36 months"," 12.99%","168.45","C","C1","Clinical Director","3 years","RENT","94500","Not Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19716690","","medical","Medical expenses","Herndon","VA","0","2","1788","50","84.6","20.47","0","0","2001-09-16 05:00","675","679","2","36","","0","36","16","0","10","0","75047","9812","62.9%","11600","27","w","4770.11","4770.11","336.9","336.90","229.89","107.01","0.0","0.0","0.0","2014-08-29","168.45","2014-09-26","2014-08-21","679","675","80016","8","36","0","5","0","0","0","36","10","0","16","95616","75047","7505","6","2","2","77.8","0","0","0","19","153","2","131","16","15600","2","3","0","1"
"19646412","21869167","12000","12000","12000"," 36 months","  9.17%","382.55","B","B1","manager","8 years","RENT","44000","Not Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19646412","","debt_consolidation","Debt consolidation","bristol","VA","0","3","10219","20","33.6","16.37","0","0","2005-06-13 05:00","710","714","0","","","8","","2","0","7","0","9436","7709","35%","15400","13","w","11416.08","11416.08","765.1","765.10","583.92","181.18","0.0","0.0","0.0","2014-08-28","382.55","2014-09-25","2014-08-21","779","775","7011","8","","0","0","0","0","0","","7","2","2","29011","9436","1348","7","3","5","100","0","0","0","5","108","4","97","2","22000","4","6","0","1"
"11427297","13359475","8875","8875","8875"," 36 months"," 16.99%","316.38","D","D3","Manager","5 years","RENT","25000","Source Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=11427297","","debt_consolidation","Debt consolidation","GAINESBORO","TN","0","10","259","100","82.7","30.29","0","0","2010-02-19 04:00","690","694","1","","","6","","19","0","8","0","28435","3585","52.7%","1500","15","w","8490.85","8490.85","632.76","632.76","384.15","248.61","0.0","0.0","0.0","2014-08-28","316.38","2014-09-25","2014-08-21","759","755","30445","10","","0","0","0","0","0","","8","1","8","37245","28435","3554","1","1","1","100","0","0","0","5","52","4","43","8","6800","4","5","0","1"
"19937981","22160604","8500","8500","8500"," 36 months","  7.12%","262.93","A","A3","Policy Program Manager ","2 years","RENT","44000","Not Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19937981","","other","Other","st paul","MN","0","0","1152","50","88.5","26.92","0","0","1998-09-19 05:00","760","764","0","","","","","30","0","10","0","22725","8848","88.5%","10000","24","w","7822.29","7822.29","825.0","825.00","677.71","147.29","0.0","0.0","0.0","2014-09-17","275.0","2014-10-12","2014-08-21","809","805","47573","9","","0","0","0","0","0","","10","0","30","57573","22725","2525","8","2","3","100","0","0","0","15","155","2","189","30","10000","2","3","0","1"
"19927959","22150590","24000","24000","24000"," 60 months"," 15.61%","578.68","D","D1","Director of Finance","8 years","MORTGAGE","84570","Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19927959","","credit_card","Credit card refinancing","TOOELE","UT","0","3","679","100","96.4","29.71","1","0","1998-05-19 05:00","675","679","0","14","","10","","82","8","20","0","79886","26219","80.9%","18800","53","w","23463.57","23463.57","1157.36","1157.36","536.43","620.93","0.0","0.0","0.0","2014-08-28","578.68","2014-09-25","2014-08-21","689","685","74341","22","","0","0","0","0","0","","20","1","8","293675","251915","13259","8","6","6","98.1","0","0","0","23","119","12","193","8","32400","12","16","0","1"
"19937807","22160466","20800","20800","20800"," 36 months","  9.17%","663.09","B","B1","USED CAR DIRECTOR","1 year","MORTGAGE","115000","Source Verified","2014-06-19","2014-07-03","2014-06-20","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19937807","","debt_consolidation","Debt consolidation","DISCOVERY BAY","CA","0","8","2438","57.1","90.5","17.61","0","0","2001-04-19 05:00","665","669","0","","","8","","12","2","17","0","90985","19082","66.4%","20400","40","w","19787.86","19787.86","1326.18","1326.18","1012.14","314.04","0.0","0.0","0.0","2014-08-28","663.09","2014-09-25","2014-08-21","784","780","84859","22","","0","0","0","0","0","","17","4","8","456168","426909","28461","15","6","7","100","0","0","0","15","158","7","104","8","29200","7","12","0","1"
"19947968","22170603","5000","5000","5000"," 36 months"," 16.99%","178.24","D","D3","physical therapist","10+ years","MORTGAGE","125000","Not Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19947968","","home_improvement","Home improvement","Wilmington","DE","0","6","9330","50","58.7","15.17","1","0","2004-08-19 05:00","685","689","1","5","","2","5","2","3","13","0","36101","25925","50.7%","22600","24","w","4783.58","4783.58","356.48","356.48","216.42","140.06","0.0","0.0","0.0","2014-08-28","178.24","2014-09-24","2014-08-21","694","690","30845","19","60","0","2","0","0","0","60","13","1","2","370787","315978","26332","7","3","4","83.3","0","0","0","2","118","5","89","2","51100","5","11","0","1"
"17763901","19896419","6500","6500","6500"," 36 months"," 10.15%","210.2","B","B2","Clerk","10+ years","RENT","41000","Verified","2014-06-19","2014-07-03","2014-06-20","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=17763901","","debt_consolidation","Debt consolidation","SANTA CLARA","CA","0","5","3901","0","39","7.55","0","0","2003-11-19 04:00","665","669","1","58","28","1","58","17","2","5","1","4537","2500","34.2%","6400","26","f","6188.25","6188.25","420.4","420.40","311.75","108.65","0.0","0.0","0.0","2014-08-28","210.2","2014-09-24","2014-08-21","664","660","4168","21","58","1","5","0","0","0","58","5","2","1","11468","4537","907","15","2","2","78.3","0","0","0","3","127","3","124","1","7300","3","4","0","1"
"15649936","3617038","29450","29450","29450"," 60 months"," 17.57%","740.97","D","D4","Facility Engineer","10+ years","MORTGAGE","85000","Verified","2014-06-19","2014-07-03","2014-06-20","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=15649936","","debt_consolidation","Debt consolidation","Troy","IL","0","2","14246","20","43","9.4","0","0","1994-03-28 04:00","725","729","1","38","","6","38","2","1","12","0","24347","10754","36.1%","25000","27","w","28825.92","28825.92","1481.94","1481.94","624.08","857.86","0.0","0.0","0.0","2014-08-28","740.97","2014-09-24","2014-08-21","709","705","16000","22","38","0","1","0","0","0","41","12","1","2","171430","40045","3640","9","4","5","92.6","0","0","0","4","151","4","242","2","29800","4","10","0","1"
"17945021","20097413","14925","14925","14925"," 60 months"," 23.43%","424.44","F","F1","Back Office Speacialist II","6 years","RENT","41600","Source Verified","2014-06-19","2014-07-03","2014-06-20","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=17945021","","debt_consolidation","Debt consolidation","Palmdale ","CA","0","0","264","75","94.6","21","0","0","2006-02-27 04:00","660","664","0","76","","","76","50","0","8","0","18510","5416","93.4%","4900","12","f","14656.34","14656.34","848.88","848.88","268.66","580.22","0.0","0.0","0.0","2014-08-28","424.44","2014-09-24","2014-08-21","799","795","26735","8","","0","1","0","0","0","76","8","0","38","32535","18510","2644","5","3","5","91.7","0","0","0","4","71","5","99","43","5800","5","7","0","1"
"19997785","22220482","12600","12600","12600"," 36 months"," 13.98%","430.52","C","C3","Teller","2 years","OWN","40000","Source Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19997785","","credit_card","Credit card refinancing","FAIRCHILD AIR FORCE","WA","0","4","896","80","95.1","29.87","0","0","2000-06-19 05:00","695","699","0","","","11","","8","0","10","0","21438","21438","78%","18300","26","w","11738.86","11738.86","1291.56","1291.56","861.14","430.42","0.0","0.0","0.0","2014-09-19","430.52","2014-10-16","2014-08-21","699","695","0","19","","0","0","0","0","0","","10","2","8","27500","21438","2144","9","5","5","100","0","0","0","7","133","8","168","8","27500","8","10","0","1"
"20007805","22230466","1200","1200","1200"," 36 months"," 16.99%","42.78","D","D3","CSR","10+ years","RENT","46000","Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20007805","","other","Other","Dixon","CA","0","2","2362","0","12.5","3.26","0","0","2006-11-18 04:00","740","744","1","","","6","","6","0","4","0","1829","1829","35.2%","2700","4","w","1104.67","1104.67","128.34","128.34","95.33","33.01","0.0","0.0","0.0","2014-08-28","42.78","2014-09-24","2014-08-21","704","700","0","4","","0","0","0","0","0","","4","2","6","5200","1829","610","2","2","2","100","0","0","0","0","","3","91","6","5200","3","4","0","1"
"19977602","22200324","7700","7700","7700"," 36 months"," 17.57%","276.72","D","D4","Product Developer","2 years","RENT","75000","Not Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19977602","","moving","Moving and relocation","CORAL GABLES","FL","0","2","1","100","99.9","14.53","1","0","1983-09-18 05:00","660","664","0","17","","21","17","21","0","11","0","68136","1466","81.4%","1000","15","w","7369.64","7369.64","553.44","553.44","330.36","223.08","0.0","0.0","0.0","2014-08-28","276.72","2014-09-25","2014-08-21","674","670","43250","4","","0","1","0","0","0","69","11","0","21","63426","68136","6194","1","1","1","86.7","0","0","0","10","59","2","105","21","1800","2","2","0","1"
"19686340","21909103","28000","28000","28000"," 36 months","  9.17%","892.61","B","B1","process engineer","10+ years","MORTGAGE","100000","Source Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19686340","","credit_card","Credit card refinancing","oregon","OH","0","5","11359","75","81.1","20.24","0","0","1992-12-13 04:00","720","724","0","","","8","","8","3","10","0","76715","48641","69%","60000","21","f","26637.53","26637.53","1785.22","1785.22","1362.47","422.75","0.0","0.0","0.0","2014-08-28","892.61","2014-09-24","2014-08-21","774","770","32327","13","","0","0","0","0","0","","10","3","8","204227","171374","17137","8","4","4","100","0","0","0","5","125","4","258","8","70500","4","7","0","1"
"19877838","22100537","15000","15000","15000"," 36 months","  9.17%","478.19","B","B1","educator","10+ years","MORTGAGE","79000","Not Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19877838","","debt_consolidation","Debt consolidation","COLORADO SPRINGS","CO","0","3","1288","50","67","5.89","0","0","1984-06-19 05:00","700","704","1","26","","6","26","10","3","7","0","13981","2712","39.3%","3900","24","w","14270.09","14270.09","956.38","956.38","729.91","226.47","0.0","0.0","0.0","2014-09-08","478.19","2014-10-03","2014-08-21","684","680","12143","11","26","0","1","0","0","0","74","7","3","8","227658","210589","35098","5","2","2","90.9","0","0","0","10","123","3","360","10","6900","3","5","0","1"
"19907779","22130458","25000","25000","25000"," 60 months"," 14.99%","594.62","C","C5","Senior Marketing Manager","2 years","MORTGAGE","120000","Source Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19907779","","debt_consolidation","Debt consolidation","Los Angeles","CA","0","6","8009","44.4","72.6","24.21","0","0","1995-12-18 04:00","700","704","0","","74","15","","5","1","16","1","140645","21193","70.6%","29200","24","w","24431.82","24431.82","1189.24","1189.24","568.18","621.06","0.0","0.0","0.0","2014-08-28","594.62","2014-09-23","2014-08-21","759","755","131657","13","","0","0","0","0","0","","16","3","5","794974","755181","50345","12","9","10","100","0","0","0","10","222","10","163","5","30000","10","11","0","1"
"19887698","22110396","7500","7500","7500"," 36 months","  7.69%","233.96","A","A4","Dept Mgr","10+ years","MORTGAGE","30000","Not Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19887698","","debt_consolidation","Debt consolidation","PARAGOULD","AR","0","4","5012","50","31.3","14.16","0","0","2004-05-18 05:00","730","734","1","","","1","","9","1","7","0","15132","3580","30.9%","7300","13","f","7127.01","7127.01","467.92","467.92","372.99","94.93","0.0","0.0","0.0","2014-08-28","233.96","2014-09-24","2014-08-21","789","785","14947","9","","0","0","0","0","0","","7","2","1","97668","80669","11524","5","1","2","100","0","0","0","3","121","3","97","1","11600","3","5","0","1"
"19887761","22110443","15000","15000","15000"," 60 months"," 14.99%","356.78","C","C5","Fabrication supervisor","10+ years","MORTGAGE","95000","Source Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19887761","","debt_consolidation","Debt consolidation","HYDE PARK","VT","0","1","703","100","81.5","11.91","1","0","2000-10-18 05:00","660","664","2","18","","1","24","54","4","5","0","38552","4804","65.8%","3800","22","w","14659.07","14659.07","713.56","713.56","340.93","372.63","0.0","0.0","0.0","2014-08-28","356.78","2014-09-25","2014-08-21","674","670","42009","9","24","0","1","0","0","0","28","5","0","14","49309","38552","7710","5","2","2","77.3","0","0","0","9","129","3","164","54","7300","3","3","457","1"
"19947798","22170462","2800","2800","2800"," 36 months"," 17.57%","100.63","D","D4","","n/a","OWN","66000","Verified","2014-06-19","2014-07-03","2014-06-19","2014-06-26","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19947798","","vacation","Vacation","NORTH LAS VEGAS","NV","0","3","2000","0","0","14.18","0","0","2002-11-19 04:00","685","689","1","","","3","","0","5","6","0","34708","6770","67.7%","2000","33","w","2679.86","2679.86","201.26","201.26","120.14","81.12","0.0","0.0","0.0","2014-08-29","100.63","2014-09-26","2014-08-21","689","685","30033","9","","0","0","0","0","0","","6","3","0","195371","184377","30730","7","0","1","100","0","0","0","19","124","2","139","0","10000","2","3","0","1"
