Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","is_inc_v","accept_d","exp_d","list_d","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","addr_city","addr_state","acc_now_delinq","acc_open_past_24mths","bc_open_to_buy","percent_bc_gt_75","bc_util","dti","delinq_2yrs","delinq_amnt","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","mths_since_recent_inq","mths_since_recent_revol_delinq","mths_since_recent_bc","mort_acc","open_acc","pub_rec","total_bal_ex_mort","revol_bal","revol_util","total_bc_limit","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","total_il_high_credit_limit","num_rev_accts","mths_since_recent_bc_dlq","pub_rec_bankruptcies","num_accts_ever_120_pd","chargeoff_within_12_mths","collections_12_mths_ex_med","tax_liens","mths_since_last_major_derog","num_sats","num_tl_op_past_12m","mo_sin_rcnt_tl","tot_hi_cred_lim","tot_cur_bal","avg_cur_bal","num_bc_tl","num_actv_bc_tl","num_bc_sats","pct_tl_nvr_dlq","num_tl_90g_dpd_24m","num_tl_30dpd","num_tl_120dpd_2m","num_il_tl","mo_sin_old_il_acct","num_actv_rev_tl","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","total_rev_hi_lim","num_rev_tl_bal_gt_0","num_op_rev_tl","tot_coll_amt","policy_code"
"1070078","1305201","6500","6500","6500"," 60 months"," 14.65%","153.45","C","C3","Southwest Rural metro","5 years","OWN","72000","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-28","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1070078","  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>","debt_consolidation","High intrest Consolidation","WADDELL","AZ","0","","","","","16.12","0","0","1998-01-27 05:44","2","","","","","","","14","0","","4032","20.6%","","23","f","0.00","0.00","7677.52","7677.52","6500.00","1177.52","0.0","0.0","0.0","2013-06-28","1655.54","","2013-07-24","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069908","1305008","12000","12000","12000"," 36 months"," 12.69%","402.54","B","B5","UCLA","10+ years","OWN","75000","Source Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-20","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069908","","debt_consolidation","Consolidation","NORTHRIDGE","CA","0","","","","","10.78","0","0","1989-10-11 05:57","0","","","","","","","12","0","","23336","67.1%","","34","f","0.00","0.00","13943.079999999998","13943.08","12000.00","1943.08","0.0","0.0","0.0","2013-09-04","6315.3","","2013-08-26","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1064687","1298717","9000","9000","9000"," 36 months"," 13.49%","305.38","C","C1","Va. Dept of Conservation/Recreation","< 1 year","RENT","30000","Source Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1064687","  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>","debt_consolidation","freedom","Scottsburg, Va ","VA","0","","","","","10.08","0","0","2004-04-20 02:50","1","","","","","","","4","0","","10452","91.7%","","9","f","0.00","0.00","2270.7","2270.70","1256.14","570.26","0.0","444.3","4.16","2012-07-06","305.38","","2012-11-26","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069866","1304956","3000","3000","3000"," 36 months","  9.91%","96.68","B","B1","Target","3 years","RENT","15000","Source Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069866","  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>","credit_card","citicard fund","CHICAGO","IL","0","","","","","12.56","0","0","2003-07-30 04:06","2","","","","","","","11","0","","7323","43.1%","","11","f","384.61","384.61","3086.51","3086.51","2615.38","471.13","0.0","0.0","0.0","2014-09-05","96.68","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069057","1303503","10000","10000","10000"," 36 months"," 10.65%","325.74","B","B2","SFMTA","3 years","RENT","100000","Source Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069057","","other","Other Loan","SAN JOSE","CA","0","","","","","7.06","0","0","1991-05-04 02:54","2","","","","","","","14","0","","11997","55.5%","","29","f","0.00","0.00","7471.99","7471.99","5433.47","1393.42","0.0","645.1","6.3145","2013-10-04","325.74","","2014-03-24","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069759","1304871","1000","1000","1000"," 36 months"," 16.29%","35.31","D","D1","Internal revenue Service","< 1 year","RENT","28000","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-22","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069759","","debt_consolidation","Debt Consolidation Loan","KANSAS CITY","MO","0","","","","","20.31","0","0","2007-09-07 03:43","1","","","","","","","11","0","","6524","81.5%","","23","f","137.61","137.61","1127.92","1127.92","862.39","265.53","0.0","0.0","0.0","2014-09-05","35.31","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1065775","1299699","10000","10000","10000"," 36 months"," 15.27%","347.98","C","C4","Chin's Restaurant","4 years","RENT","42000","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1065775","","home_improvement","Home","SAN DIEGO","CA","0","","","","","18.6","0","0","1998-10-21 12:32","2","61","","","","","","14","0","","24043","70.2%","","28","f","1371.22","1371.22","11104.86","11104.86","8628.78","2476.08","0.0","0.0","0.0","2014-09-05","347.98","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069971","1304884","3600","3600","3600"," 36 months","  6.03%","109.57","A","A1","Duracell","10+ years","MORTGAGE","110000","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069971","  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>","major_purchase","Holiday","Watertown","CT","0","","","","","10.52","0","0","1993-08-21 03:55","0","","","","","","","20","0","","22836","16%","","42","f","0.00","0.00","3785.02","3785.02","3600.00","185.02","0.0","0.0","0.0","2013-05-02","583.45","","2014-05-27","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1062474","1294539","6000","6000","6000"," 36 months"," 11.71%","198.46","B","B3","Connection Inspection","1 year","MORTGAGE","84000","Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1062474","  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>","medical","Medical","randlett","UT","0","","","","","18.44","2","0","2003-10-21 03:49","0","8","","","","","","4","0","","0","37.73%","","14","f","791.47","791.47","6353.68","6353.68","5208.53","1130.15","15.0","0.0","0.0","2014-09-10","198.46","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069742","1304855","9200","9200","9200"," 36 months","  6.03%","280.01","A","A1","Network Interpreting Service","6 years","RENT","77385.19","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069742","","debt_consolidation","lowerratemeanseasiertogetoutofdebt!","San Diego","CA","0","","","","","9.86","0","0","2001-01-11 02:16","0","","","","","","","8","0","","7314","23.1%","","28","f","0.00","0.00","9459.960000000001","9459.96","9200.00","259.96","0.0","0.0","0.0","2012-07-06","8061.1","","2012-07-23","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069740","1284848","20250","20250","19142.161077147413"," 60 months"," 15.27%","484.63","C","C4","Archdiocese of Galveston Houston","3 years","RENT","43370","Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069740","After amassing credit card debt through several years of college, I now have spending under control and a stable job. With this loan I plan to pay off all the credit cards and close them down immediately. I have a good balance between living expenses and debt repayment.<br> Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.  Please let me know if you have any other questions.<br> Borrower added on 12/15/11 > Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.<br><br>Please let me know if you have any other questions.<br><br> Borrower added on 12/16/11 > After amassing credit card debt from years in college I have put spending under control. With my stable job, I hope to use this loan to pay off all the credit cards and close them down immediately. My monthly income is balanced between living expenses and loan repayment.  Thank you!<br><br> Borrower added on 12/16/11 > After amassing credit card debt through several years of college, I now have spending under control and a stable job.  With this loan I plan to pay off all the credit cards and close them down immediately.  I have a good balance between living expenses and debt repayment.<br>","debt_consolidation","Freedom From Credit Cards","HOUSTON","TX","0","","","","","26.53","0","0","1997-11-17 08:06","3","","","","","","","8","0","","17813","85.6%","","22","f","9732.23","9720.11","16792.649999999972","14560.80","10517.78","6274.87","0.0","0.0","0.0","2014-09-05","484.63","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1039153","1269083","21000","21000","21000"," 36 months"," 12.42%","701.73","B","B4","Osram Sylvania","10+ years","RENT","105000","Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1039153","  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>","debt_consolidation","Debt Cleanup","WESLEY CHAPEL","FL","0","","","","","13.22","0","0","1983-02-22 02:55","0","","","","","","","7","0","","32135","90.3%","","38","f","0.00","0.00","14025.400000000001","14025.40","10694.96","3330.44","0.0","0.0","0.0","2013-09-05","701.73","","2013-12-20","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069710","1304821","10000","10000","10000"," 36 months"," 11.71%","330.76","B","B3","Value Air","10+ years","OWN","50000","Source Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069710","  Borrower added on 12/17/11 > Have a stable job, will be absolutely no problem making monthly payments.  Loan will be used to close high interest credit card accounts on which I've never had a late payment.<br>","credit_card","Credit Card Loan","El Paso","TX","0","","","","","11.18","0","0","1985-07-04 02:37","0","","","","","","","8","0","","10056","82.4%","","21","f","1309.83","1309.83","10561.07","10561.07","8690.17","1870.90","0.0","0.0","0.0","2014-09-05","330.76","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069700","1304810","10000","10000","10000"," 36 months"," 11.71%","330.76","B","B3","Wells Fargo Bank","5 years","RENT","50000","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069700","","debt_consolidation","Debt Consolidation","ONTARIO","CA","0","","","","","16.01","0","0","2003-04-01 01:10","0","","","","","","","6","0","","17800","91.8%","","17","f","0.00","0.00","11536.31","11536.31","10000.00","1536.31","0.0","0.0","0.0","2013-10-04","4942.63","","2014-03-04","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069559","1304634","6000","6000","6000"," 36 months"," 11.71%","198.46","B","B3","bmg-educational","1 year","RENT","76000","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069559","","major_purchase","cash","LOS ANGELES","CA","0","","","","","2.4","0","0","2001-06-10 01:59","1","","","","","","","7","0","","5963","29.7%","","7","f","0.00","0.00","2050.14","2050.14","1305.58","475.25","0.0","269.31","2.57","2012-10-04","198.46","","2013-03-25","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069697","1273773","15000","15000","15000"," 36 months","  9.91%","483.38","B","B1","Winfield Pathology Consultants","2 years","MORTGAGE","92000","Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069697","","credit_card","No more credit card debt!","Naperville","IL","0","","","","","29.44","0","0","2002-02-19 12:13","0","","","","","","","8","0","","13707","93.9%","","31","f","0.00","0.00","15823.48","15823.48","15000.00","823.48","0.0","0.0","0.0","2012-09-05","2447.05","","2012-09-26","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069800","1304679","15000","15000","8725"," 36 months"," 14.27%","514.64","C","C2","nyc transit","9 years","RENT","60000","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069800","  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>","debt_consolidation","consolidation","staten island","NY","0","","","","","15.22","0","0","2003-10-28 12:18","1","","","","","","","7","0","","5872","57.6%","","11","f","0.00","0.00","0.0","0.00","0.00","0.00","0.0","0.0","0.0","","0.0","","2012-05-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069657","1304764","5000","5000","5000"," 60 months"," 16.77%","123.65","D","D2","Frito Lay","2 years","RENT","50004","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-28","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069657","  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>","other","Other","CREIGHTON","PA","0","","","","","13.97","3","0","2003-10-28 12:29","0","20","","","","","","14","0","","4345","59.5%","","22","f","0.00","0.00","1609.12","1609.12","629.05","719.11","0.0","260.96","2.3","2012-12-05","123.65","","2013-05-26","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069799","1304678","4000","4000","4000"," 36 months"," 11.71%","132.31","B","B3","Shands Hospital at the University of Fl","10+ years","MORTGAGE","106000","Not Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069799","","debt_consolidation","Debt Consolidation","gainesville","FL","0","","","","","5.63","1","0","1984-08-08 01:16","0","18","","","","","","12","0","","6110","37.7%","","44","f","0.00","0.00","4484.79","4484.79","4000.00","484.79","0.0","0.0","0.0","2013-04-03","2638.77","","2013-03-25","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1047704","1278806","8500","8500","8500"," 36 months"," 11.71%","281.15","B","B3","Oakridge homes","< 1 year","RENT","25000","Source Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1047704","  Borrower added on 12/15/11 > My loan is for paying off my credit cards and being able to get a place to live since I live with my uncle at the moment and he needs me to leave. <br><br>  Borrower added on 12/17/11 > Im responsible and i pay my bills on time if not early. i have a great payment history. having this loan would really help me out. thank you<br>","credit_card","Credit card repayment loan","AITKIN","MN","0","","","","","12.19","0","0","2006-11-06 05:15","0","","","","","","","8","0","","6441","59.1%","","12","f","1119.49","1119.49","8978.32","8978.32","7380.52","1597.80","0.0","0.0","0.0","2014-09-05","281.15","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1032111","1261745","4375","4375","4375"," 36 months","  7.51%","136.11","A","A3","","7 years","MORTGAGE","17108","Source Verified","2011-12-15","2011-12-29","2011-12-15","2011-12-29","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1032111","  Borrower added on 12/17/11 > This loan is a great opportunity and will help me gain better control over my finances. The convenience of one payment and one rate will help me save money and create better opportunities for myself for future planning. My career and income are secure and I believe in financial responsibility.<br>","debt_consolidation","Debt Consolidation","NORTH TONAWANDA","NY","0","","","","","20.34","0","0","1987-12-21 11:39","0","","","","","","","6","0","","11210","86.9%","","12","f","544.85","544.85","4345.27","4345.27","3830.15","515.12","0.0","0.0","0.0","2014-09-05","136.11","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
